Temperature,x-acc,y-acc,z-acc,Pressure,Load,Flow,,,Nitrogen,,,Frequency,,,Failure Alert,Diagnostic Code
149,118,136,113,113,105,-1,-1,1,-1,-1,1,-1,-1,1,1,4
171,218,83,265,222,129,-1,1,-1,-1,1,-1,-1,1,-1,-1,0
295,267,177,160,317,216,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
102,155,147,266,197,119,-1,1,-1,-1,1,-1,1,-1,-1,1,3
129,143,169,134,131,101,-1,-1,1,-1,-1,1,-1,-1,1,1,4
197,201,257,185,165,218,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
143,109,185,183,180,101,-1,1,-1,-1,1,-1,1,-1,-1,1,3
258,197,262,218,255,253,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
194,151,202,155,215,200,-1,1,-1,-1,1,-1,1,-1,-1,1,5
117,103,133,60,80,88,-1,-1,1,-1,-1,1,-1,-1,1,1,4
125,157,192,167,142,109,-1,-1,1,-1,-1,1,-1,-1,1,1,4
233,94,259,148,172,288,-1,1,-1,-1,1,-1,1,-1,-1,1,5
138,126,155,126,104,84,-1,-1,1,-1,-1,1,-1,-1,1,1,4
122,99,106,137,178,148,-1,-1,1,-1,-1,1,-1,-1,1,1,4
238,149,176,269,236,223,-1,1,-1,-1,1,-1,-1,1,-1,-1,0
139,115,108,82,78,104,-1,-1,1,-1,-1,1,-1,-1,1,1,4
154,167,189,195,142,134,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
209,176,170,253,212,226,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
191,238,197,256,160,221,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
138,165,153,258,195,220,-1,1,-1,-1,1,-1,1,-1,-1,1,3
152,156,164,223,191,241,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
156,202,146,149,255,138,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
226,215,179,210,218,225,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
233,230,237,236,228,276,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
175,190,179,224,192,195,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
110,168,105,180,134,170,-1,-1,1,-1,-1,1,-1,-1,1,1,4
206,220,240,280,224,234,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
196,217,165,166,178,243,-1,1,-1,-1,1,-1,1,-1,-1,1,3
232,191,303,164,200,259,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
140,177,193,196,177,108,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
192,191,208,194,201,207,-1,1,-1,-1,1,-1,1,-1,-1,1,3
224,174,154,190,164,162,-1,1,-1,-1,1,-1,1,-1,-1,1,5
100,132,196,200,182,158,-1,-1,1,-1,-1,1,-1,-1,1,1,4
143,197,169,196,214,134,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
206,181,184,129,195,146,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
199,235,248,242,213,209,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
187,228,231,174,159,159,-1,1,-1,-1,1,-1,1,-1,-1,1,3
124,144,170,174,118,115,-1,-1,1,-1,-1,1,-1,-1,1,1,4
114,221,184,176,129,106,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
232,266,243,261,232,238,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
248,142,121,252,260,55,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
216,200,209,203,208,245,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
185,194,259,136,168,226,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
140,149,103,154,132,132,-1,-1,1,-1,-1,1,-1,-1,1,1,4
169,201,167,223,155,145,-1,1,-1,-1,1,-1,1,-1,-1,1,5
191,156,168,183,215,174,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
182,205,302,277,168,243,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
146,145,127,212,195,231,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
220,192,153,152,91,221,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
210,86,153,226,159,231,-1,1,-1,-1,1,-1,1,-1,-1,1,5
185,176,181,149,189,177,-1,1,-1,-1,1,-1,1,-1,-1,1,5
178,225,166,220,182,122,-1,1,-1,-1,1,-1,1,-1,-1,1,5
262,210,202,217,246,207,-1,1,-1,1,-1,-1,1,-1,-1,-1,0
240,162,194,221,231,164,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
255,192,191,179,241,209,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
309,127,141,235,290,109,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
174,216,187,221,160,148,-1,1,-1,-1,1,-1,1,-1,-1,1,5
191,185,198,146,138,197,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
159,280,204,314,204,225,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
118,110,106,120,159,124,-1,-1,1,-1,-1,1,-1,-1,1,1,4
171,248,188,158,176,190,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
202,212,182,217,214,251,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
179,211,150,201,201,150,-1,1,-1,-1,1,-1,1,-1,-1,1,3
237,258,288,278,246,274,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
134,137,149,161,137,128,-1,-1,1,-1,-1,1,-1,-1,1,1,4
152,176,202,210,149,167,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
188,147,100,204,256,203,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
182,239,164,232,178,188,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
308,278,311,298,260,253,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
178,161,183,165,182,159,-1,1,-1,-1,1,-1,1,-1,-1,1,3
213,146,249,168,169,229,-1,1,-1,-1,1,-1,1,-1,-1,1,5
173,168,189,159,205,158,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
195,213,266,243,141,251,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
132,152,124,153,135,164,-1,-1,1,-1,-1,1,-1,-1,1,1,4
157,170,195,173,186,159,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
207,179,229,108,127,192,-1,1,-1,-1,1,-1,1,-1,-1,-1,1
230,217,198,210,178,209,-1,1,-1,1,-1,-1,-1,1,-1,-1,2
133,113,95,104,64,104,-1,-1,1,-1,-1,1,-1,-1,1,1,4
224,226,208,184,218,212,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
208,175,167,217,224,210,-1,1,-1,1,-1,-1,-1,1,-1,-1,0
155,220,213,188,171,161,-1,1,-1,-1,1,-1,1,-1,-1,1,5
255,161,181,146,219,239,-1,1,-1,-1,1,-1,1,-1,-1,1,5
175,81,146,75,104,47,-1,-1,1,-1,-1,1,-1,-1,1,1,4
